Month,EPU_Index
1994-10-01,40.73825096020274
1994-11-01,40.73825096020274
1994-12-01,27.15883397346849
1995-01-01,54.31766794693698
1995-03-01,27.15883397346849
1995-04-01,81.47650192040548
1995-05-01,27.15883397346849
1995-06-01,27.15883397346849
1995-07-01,54.31766794693698
1995-08-01,13.579416986734245
1995-09-01,0.0
1995-10-01,40.73825096020274
1995-11-01,13.579416986734245
1995-12-01,13.579416986734245
1996-01-01,27.15883397346849
1996-02-01,27.15883397346849
1996-03-01,40.73825096020274
1996-04-01,54.31766794693698
1996-05-01,67.89708493367122
1996-06-01,67.89708493367122
1996-07-01,40.73825096020274
1996-08-01,67.89708493367122
1996-09-01,40.73825096020274
1996-10-01,27.15883397346849
1996-11-01,67.89708493367122
1996-12-01,27.15883397346849
1997-01-01,81.47650192040548
1997-02-01,54.31766794693698
1997-03-01,54.31766794693698
1997-04-01,67.89708493367122
1997-05-01,13.579416986734245
1997-06-01,54.31766794693698
1997-07-01,54.31766794693698
1997-08-01,122.2147528806082
1997-09-01,90.37614937740895
1997-10-01,82.53147140222366
1997-11-01,274.2933565776813
1997-12-01,201.12142423491926
1998-01-01,262.22880067522334
1998-02-01,185.43206828454868
1998-03-01,149.3735868540767
1998-04-01,133.22433930124802
1998-05-01,265.3937091206779
1998-06-01,353.6599195344505
1998-07-01,151.48352581771306
1998-08-01,136.84913934916065
1998-09-01,143.63884784252775
1998-10-01,187.54200724818503
1998-11-01,167.17288176808364
1998-12-01,164.00797332262914
1999-01-01,193.27674625973398
1999-02-01,109.69030537569215
1999-03-01,149.3735868540767
1999-04-01,95.05591890713971
1999-05-01,90.37614937740895
1999-06-01,159.32820379289834
1999-07-01,214.7008412216535
1999-08-01,90.37614937740895
1999-09-01,117.53498335087744
1999-10-01,137.9041088309788
1999-11-01,83.58644088404182
1999-12-01,83.58644088404182
2000-01-01,81.33237847621463
2000-02-01,104.40680585006358
2000-03-01,72.99624662116796
2000-04-01,69.74577663872064
2000-05-01,195.63956541617068
2000-06-01,119.8165670285902
2000-07-01,194.08881599622225
2000-08-01,128.58991691456905
2000-09-01,115.29009469967879
2000-10-01,174.25135878992327
2000-11-01,114.14471598250815
2000-12-01,108.21161767783916
2001-01-01,148.1024322059723
2001-02-01,160.13109977275812
2001-03-01,244.14125887283475
2001-04-01,181.19436448410974
2001-05-01,192.2584718044299
2001-06-01,105.51548954072011
2001-07-01,93.50516948719131
2001-08-01,107.36418124576954
2001-09-01,134.9650809485299
2001-10-01,185.7391843262782
2001-11-01,135.2263282071168
2001-12-01,158.98572105558748
2002-01-01,62.946894388725
2002-02-01,44.84100507307934
2002-03-01,72.99624662116796
2002-04-01,51.19782159378313
2002-05-01,54.31766794693698
2002-06-01,52.627121141066596
2002-07-01,118.67118831141956
2002-08-01,191.85742715992097
2002-09-01,79.0599685551304
2002-10-01,102.90059688232503
2002-11-01,98.03164181610275
2002-12-01,103.96474012077172
2003-01-01,176.55994209743076
2003-02-01,132.97226579928963
2003-03-01,115.55134195826571
2003-04-01,49.36747740199076
2003-05-01,105.51548954072011
2003-06-01,32.25799566096523
2003-07-01,62.162345922122284
2003-08-01,81.47650192040548
2003-09-01,72.99624662116796
2003-10-01,66.20653812780084
2003-11-01,54.31766794693698
2003-12-01,244.4295057612164
2004-01-01,135.79416986734245
2004-02-01,72.99624662116796
2004-03-01,100.15508059463646
2004-04-01,47.527959453569856
2004-05-01,88.2662104137726
2004-06-01,123.93282095636417
2004-07-01,112.0439507755003
2004-08-01,135.79416986734245
2004-09-01,193.27674625973398
2004-10-01,45.96803627699293
2004-11-01,97.16585787077607
2004-12-01,95.05591890713971
2005-01-01,67.89708493367122
2005-02-01,78.0954083086647
2005-03-01,66.20653812780084
2005-04-01,67.89708493367122
2005-05-01,67.89708493367122
2005-06-01,67.89708493367122
2005-07-01,81.47650192040548
2005-08-01,86.57566360790221
2005-09-01,54.31766794693698
2005-10-01,62.162345922122284
2005-11-01,64.51599132193046
2005-12-01,58.42042205981359
2006-01-01,39.04770415433235
2006-02-01,67.89708493367122
2006-03-01,52.627121141066596
2006-04-01,35.78806041525651
2006-05-01,108.63533589387396
2006-06-01,76.40486150279432
2006-07-01,76.79673239067469
2006-08-01,76.79673239067469
2006-09-01,55.37263742875516
2006-10-01,40.73825096020274
2006-11-01,63.21731540394046
2006-12-01,44.84100507307934
2007-01-01,81.47650192040548
2007-02-01,41.79322044202091
2007-03-01,91.43111885922711
2007-04-01,54.31766794693698
2007-05-01,67.89708493367122
2007-06-01,81.47650192040548
2007-07-01,54.31766794693698
2007-08-01,68.9520544154894
2007-09-01,40.73825096020274
2007-10-01,83.16272266800702
2007-11-01,75.74176290885653
2007-12-01,60.25076625160596
2008-01-01,106.2188025285989
2008-02-01,102.90059688232503
2008-03-01,126.43463080788092
2008-04-01,58.42042205981359
2008-05-01,152.5384952995312
2008-06-01,99.27579683441242
2008-07-01,56.42760691057333
2008-08-01,108.63533589387396
2008-09-01,111.02486962935428
2008-10-01,94.91179546294887
2008-11-01,116.48001386905926
2008-12-01,118.58995283269562
2009-01-01,126.43463080788092
2009-02-01,101.26861198365268
2009-03-01,114.84802897038692
2009-04-01,101.97192497153146
2009-05-01,96.11088838895789
2009-06-01,79.0599685551304
2009-07-01,82.53147140222366
2009-08-01,33.94854246683561
2009-09-01,132.16936981942985
2009-10-01,59.12373504769237
2009-11-01,68.1766797055152
2009-12-01,41.44156394808152
2010-01-01,68.9520544154894
2010-02-01,97.16585787077607
2010-03-01,117.53498335087744
2010-04-01,53.89394973090217
